Personal characteristics;Countries;Periods;Evaluation of trust in/Other people (score);Evaluation of trust in/Legal system (score);Evaluation of trust in/Police (score);Evaluation of trust in/Politicians  (score);Evaluation of trust in/Parliament (score);Evaluation of trust in/Political parties (score);Evaluation of trust in/European Parliament (score);Evaluation of trust in/United Nations (score);Percentage of people with trust in/Other people (%);Percentage of people with trust in/Legal system (%);Percentage of people with trust in/Police (%);Percentage of people with trust in/Politicians (%);Percentage of people with trust in/Parliament  (%);Percentage of people with trust in/Political parties (%);Percentage of people with trust in/European Parliament (%);Percentage of people with trust in/United Nations (%)
Total;Lithuania;2006;;;;;;;;;;;;;;;;
Total;Lithuania;2008;;;;;;;;;;;;;;;;
Total;Lithuania;2010;;;;;;;;;;;;;;;;
Total;Lithuania;2012;5,2;4;5,5;2,9;3,1;2,8;4,7;5;49;27;53;12;16;12;41;46
Total;Lithuania;2014;4,9;4,5;5,7;3,1;3,3;3;5,2;5,6;42;36;55;15;19;15;49;53
Total;Lithuania;2016;5,2;5;6,1;3,5;3,9;3,2;5,6;5,8;51;43;62;20;25;18;52;55
Total;Lithuania;2018;4,7;4,6;6,2;3,2;3,4;2,9;5,1;5,3;35;37;62;16;21;15;44;46
Total;Montenegro;2002;;;;;;;;;;;;;;;;
Total;Montenegro;2004;;;;;;;;;;;;;;;;
Total;Montenegro;2006;;;;;;;;;;;;;;;;
Total;Montenegro;2008;;;;;;;;;;;;;;;;
Total;Montenegro;2010;;;;;;;;;;;;;;;;
Total;Montenegro;2012;;;;;;;;;;;;;;;;
Total;Montenegro;2014;;;;;;;;;;;;;;;;
Total;Montenegro;2016;;;;;;;;;;;;;;;;
Total;Montenegro;2018;3,6;4,3;5,1;3;4,1;3;4,8;4,9;20;34;44;17;32;15;40;40
Total;The Netherlands;2002;5,7;5,4;5,8;4,9;5,2;;4,7;5,4;58;52;62;42;50;;38;52
Total;The Netherlands;2004;5,8;5,5;6;4,7;4,7;4,8;4,6;5,4;63;56;67;40;39;41;38;56
Total;The Netherlands;2006;5,8;5,8;6,2;5;5,3;3,5;3,5;5;61;61;72;46;53;47;39;55
Total;The Netherlands;2008;6;5,9;6,3;5,2;5,6;5,2;5,1;5,6;64;64;73;52;60;52;48;59
Total;The Netherlands;2010;6;5,9;6,3;5,2;5,4;5,3;4,9;5,6;67;64;73;52;55;53;43;58
Total;The Netherlands;2012;6;6,1;6,4;5,1;5,3;5,1;4,8;5,7;65;67;77;50;52;48;45;61
Total;The Netherlands;2014;6;6;6,4;4,9;5,2;4,9;4,5;5,5;66;67;77;46;53;45;38;60
Total;The Netherlands;2016;6;6,2;6,7;5,1;5,6;5,2;4,7;5,7;68;71;82;50;60;52;41;61
Total;The Netherlands;2018;6,2;6,6;7;5,4;5,9;5,4;5,3;5,9;70;78;85;57;67;55;54;66
Total;Norway;2002;6,6;6,3;7;4,6;5,7;;4,7;6,8;72;66;79;31;53;;32;76
Total;Norway;2004;6,6;6,4;7,1;4,2;5,4;4,3;4,6;6,9;73;67;82;26;49;25;29;78
Total;Norway;2006;6,8;6,6;7,2;4,4;5,7;2,6;5;5,4;77;72;82;29;54;29;32;77
Total;Norway;2008;6,6;6,8;7;4,6;5,8;4,8;5;6,8;73;74;79;33;54;34;37;77
Total;Norway;2010;6,7;6,9;7,2;4,9;6;4,9;5;6,7;74;76;82;38;61;37;37;74
Total;Norway;2012;6,7;7,2;7,2;5,1;6,3;5,2;4,9;6,7;75;82;83;44;66;43;35;76
Total;Norway;2014;6,6;7,2;7,4;5,3;6,7;5,3;5;6,7;73;81;85;48;76;47;38;74
Total;Norway;2016;6,8;7,4;7,4;5,4;6,8;5,5;5,1;6,8;76;83;86;51;76;50;43;77
Total;Norway;2018;6,8;7,5;7,6;5,3;6,8;5,4;5,5;7;75;86;87;49;75;51;51;79
Total;Ukraine;2002;;;;;;;;;;;;;;;;
Total;Ukraine;2004;;;;;;;;;;;;;;;;
Total;Ukraine;2006;;;;;;;;;;;;;;;;
Total;Ukraine;2008;;;;;;;;;;;;;;;;
Total;Ukraine;2010;4,2;2,3;2,5;1,8;2;2;4;4;29;6;10;4;6;5;25;26
Total;Ukraine;2012;4,5;1,9;2;1,7;1,8;1,9;3,9;3,9;38;7;9;4;7;5;29;29
Total;Ukraine;2014;;;;;;;;;;;;;;;;
Total;Ukraine;2016;;;;;;;;;;;;;;;;
Total;Ukraine;2018;;;;;;;;;;;;;;;;
Total;Austria;2002;5,1;6,1;6,4;3,5;5,1;;4,2;4,5;43;60;67;18;41;;28;34
Total;Austria;2004;5,2;5,8;6,2;3,3;4,8;3,4;4;4,5;44;57;62;15;35;15;26;34
Total;Austria;2006;5,1;6;6,3;3,3;4,9;3,3;4;4,7;44;60;66;16;40;17;28;39
Total;Austria;2008;;;;;;;;;;;;;;;;
Total;Austria;2010;;;;;;;;;;;;;;;;
Total;Austria;2012;;;;;;;;;;;;;;;;
Total;Austria;2014;5;5,7;6,5;3,5;4,7;3,4;3,6;4,4;42;55;68;19;37;18;23;33
Total;Austria;2016;5,4;6,3;7,1;3,9;5;3,8;3,8;4,4;51;69;80;22;40;21;25;36
Total;Austria;2018;5,5;6,7;7,4;4,2;5,4;4,1;4,4;4,9;53;71;82;27;48;24;32;43
Total;Poland;2002;3,7;3,7;4,9;2,7;3,5;;4,8;5,6;18;20;39;7;15;;33;49
Total;Poland;2004;3,6;3;4,6;1,9;2,4;1,9;4,3;5;18;12;32;3;7;3;28;39
Total;Poland;2006;4,1;3,8;5;2,1;2,7;3,9;5,3;5,7;23;20;42;5;8;4;36;44
Total;Poland;2008;4,1;3,9;5,1;2,3;3;2,3;4,5;5,1;25;21;42;4;11;5;31;43
Total;Poland;2010;4,4;4,3;5,4;2,7;3,4;2,5;4,7;5,3;30;27;49;9;17;8;36;46
Total;Poland;2012;4,1;3,7;5,3;2,2;3;2,2;4,2;5;26;20;46;6;13;6;29;41
Total;Poland;2014;3,9;3,5;5,1;2;2,8;2;3,6;4,6;23;19;42;5;11;4;20;35
Total;Poland;2016;4,1;4;5,7;2,5;3,4;2,4;3,9;4,9;27;23;54;7;17;7;24;38
Total;Poland;2018;4;4,3;5,8;3,1;3,8;3,2;4,6;5,5;27;30;54;14;24;15;35;48
Total;Portugal;2002;4,2;4,3;5,1;2,8;4,4;;4,8;5,4;25;28;40;8;29;;36;46
Total;Portugal;2004;3,9;3,9;5,1;2,1;3,7;2,1;4;4,7;22;22;40;4;19;4;24;41
Total;Portugal;2006;4,1;4;5,1;2,5;3,8;5,1;4,8;5,5;27;26;45;8;22;7;35;41
Total;Portugal;2008;3,7;3,8;5,3;2,3;3,5;2,4;4,3;4,9;20;24;48;6;18;6;30;40
Total;Portugal;2010;3,7;3,5;5,1;2;2,9;2;3,7;4,3;19;18;42;5;12;5;20;31
Total;Portugal;2012;3,6;3,5;5,3;1,8;2,5;1,8;3,2;4,1;20;19;51;4;9;3;16;30
Total;Portugal;2014;3,6;3,7;5,6;2;3,1;2,2;3,4;4,6;20;27;53;8;18;8;21;38
Total;Portugal;2016;4,1;4;6,1;2,5;3,9;2,6;4,1;5,3;24;28;61;9;26;11;31;51
Total;Portugal;2018;4,1;4,2;6,2;2,7;4,2;2,8;4,6;5,7;27;29;62;12;30;13;40;55
Total;Russian Federation;2002;;;;;;;;;;;;;;;;
Total;Russian Federation;2004;;;;;;;;;;;;;;;;
Total;Russian Federation;2006;;;;;;;;;;;;;;;;
Total;Russian Federation;2008;;;;;;;;;;;;;;;;
Total;Russian Federation;2010;4,2;3,8;3,5;3;3,6;3,1;4;4,4;29;25;21;15;22;14;28;33
Total;Russian Federation;2012;4,4;3,6;3,5;2,9;3,4;3;3,6;3,7;32;21;20;13;18;14;23;25
Total;Russian Federation;2014;;;;;;;;;;;;;;;;
Total;Russian Federation;2016;4,5;4,4;4,4;3,6;4,3;3,6;2,8;3;31;34;33;20;30;22;15;17
Total;Russian Federation;2018;;;;;;;;;;;;;;;;
Total;Serbia;2002;;;;;;;;;;;;;;;;
Total;Serbia;2004;;;;;;;;;;;;;;;;
Total;Serbia;2006;;;;;;;;;;;;;;;;
Total;Serbia;2008;;;;;;;;;;;;;;;;
Total;Serbia;2010;;;;;;;;;;;;;;;;
Total;Serbia;2012;;;;;;;;;;;;;;;;
Total;Serbia;2014;;;;;;;;;;;;;;;;
Total;Serbia;2016;;;;;;;;;;;;;;;;
Total;Serbia;2018;3,7;3,9;5;2,7;3,9;2,5;3,1;3,5;23;28;42;15;28;14;18;24
Total;Slovenia;2002;4;4,3;4,9;3,1;4;;4,6;4,9;24;31;39;12;24;;36;40
Total;Slovenia;2004;6,1;5,8;6,5;4,2;5,4;4,4;4;6,3;28;24;36;11;24;12;33;35
Total;Slovenia;2006;4,1;4,2;5;3,2;4,2;4,5;4,7;6,8;28;27;41;14;27;14;39;42
Total;Slovenia;2008;4,3;4,3;5;3,4;4,4;3,4;4,8;5;29;29;42;15;30;16;38;42
Total;Slovenia;2010;3,9;3,1;5;2,3;3;2,2;3,7;4,1;24;16;40;6;13;5;21;28
Total;Slovenia;2012;4,6;3,3;5,3;2,3;3;2,3;3,8;4,2;35;18;49;7;15;7;23;29
Total;Slovenia;2014;4,1;3,1;5,5;1,9;2,8;2;3,4;4,2;25;18;51;4;14;4;21;28
Total;Slovenia;2016;4,4;3,6;6;2,4;3,3;2,5;3,9;4,3;31;23;60;8;17;8;26;31
Total;Slovenia;2018;4,5;3,9;6,1;2,7;3,6;2,7;3,8;4,4;34;26;63;10;20;10;28;34
Total;Slovakia;2002;;;;;;;;;;;;;;;;
Total;Slovakia;2004;4,1;3,8;4,7;3,1;4,1;3,2;4,5;4,6;20;19;29;7;12;8;37;44
Total;Slovakia;2006;4,3;4,2;4,7;3,6;4,2;2,1;4,8;5,3;28;26;35;16;25;15;40;44
Total;Slovakia;2008;4,1;4,1;4,8;3,6;4;3,6;5,2;5,4;27;26;37;18;24;19;42;44
Total;Slovakia;2010;4,5;3,5;4,5;2,8;3,2;2,7;4,4;4,8;31;18;30;8;13;7;31;36
Total;Slovakia;2012;3,8;3,2;4,1;2,8;3,1;2,7;3,7;4,2;24;15;27;10;15;10;22;27
Total;Slovakia;2014;;;;;;;;;;;;;;;;
Total;Slovakia;2016;;;;;;;;;;;;;;;;
Total;Slovakia;2018;3,9;4,2;5,1;3,3;3,6;3,5;4,5;5;27;32;46;20;25;23;37;44
Total;Spain;2002;4,9;4,3;5,4;3,4;4,8;;4,8;4,7;41;30;52;17;38;;37;37
Total;Spain;2004;4,9;4,7;5,9;3,7;5,1;3,7;5,1;5;40;38;59;20;43;20;43;44
Total;Spain;2006;5,1;5;6;3,5;5;2,5;4,6;4,9;41;43;61;17;42;16;42;42
Total;Spain;2008;4,9;4,3;6,1;3,3;5;3,2;5;5;39;29;64;15;42;15;39;42
Total;Spain;2010;5,1;4,4;6,3;2,7;4,3;2,7;4,5;5;41;33;68;11;30;10;31;41
Total;Spain;2012;5,1;3,7;5,9;1,9;3,4;1,9;3,9;4,7;44;25;59;7;21;7;26;38
Total;Spain;2014;4,8;4;6,3;2,2;3,7;2,2;3,8;4,8;38;29;65;8;24;7;26;41
Total;Spain;2016;5;3,9;6,6;2,4;3,9;2,4;4,2;4,7;42;28;71;10;28;9;31;40
Total;Spain;2018;5,1;4,8;6,8;2,6;4,1;2,5;4,5;5;43;41;74;10;30;8;35;44
Total;Czech Republic;2002;;;;;;;;;;;;;;;;
Total;Czech Republic;2004;;;;;;;;;;;;;;;;
Total;Czech Republic;2006;;;;;;;;;;;;;;;;
Total;Czech Republic;2008;;;;;;;;;;;;;;;;
Total;Czech Republic;2010;4,6;4,1;4,9;2,6;3,3;2,7;4,1;4,9;36;29;39;11;17;11;26;40
Total;Czech Republic;2012;4,5;4,1;5,1;2,6;3,2;2,7;3,9;4,8;33;30;42;14;19;14;28;38
Total;Czech Republic;2014;4,6;4,7;5,7;3,3;4;3,4;4,2;4,8;34;39;55;17;27;18;30;39
Total;Czech Republic;2016;5,1;5,2;5,8;3,6;4,3;3,5;4,2;5;47;46;57;21;31;20;32;46
Total;Czech Republic;2018;5;5,2;5,9;3,6;4,2;3,6;4,2;4,9;45;49;59;22;31;22;33;43
Total;United Kingdom;2002;5,1;5;6;3,8;4,7;;3,6;5,3;42;43;63;22;36;;20;49
Total;United Kingdom;2004;5,2;5,1;6,1;3,6;4,3;3,7;3,5;5,2;43;45;62;19;29;19;19;47
Total;United Kingdom;2006;5,4;5;6;3,4;4,2;4,6;4,5;6,4;47;43;61;17;28;16;18;43
Total;United Kingdom;2008;5,3;5,2;6,2;3,6;4,3;3,6;3,6;5,1;47;46;66;17;31;18;20;44
Total;United Kingdom;2010;5,4;5,2;6,2;3,4;4,1;3,5;3,4;4,9;49;48;65;18;30;19;18;43
Total;United Kingdom;2012;5,4;5,6;6,6;3,7;4,3;3,7;3,4;5,2;48;52;73;21;31;19;18;47
Total;United Kingdom;2014;5,4;5,6;6,3;3,5;4,3;3,5;3,1;4,9;48;55;67;20;34;19;17;43
Total;United Kingdom;2016;5,4;5,9;6,7;3,8;4,7;3,8;3,7;5,3;49;62;73;22;37;21;23;50
Total;United Kingdom;2018;5,2;5,8;6,7;3,5;4,3;3,6;3,5;5,1;45;59;73;20;33;19;22;46
Total;Sweden;2002;6,1;6,1;6,8;4,7;5,9;;4;6,6;61;61;74;37;58;;25;70
Total;Sweden;2004;6,1;5,8;6,5;4,2;5,4;4,4;4;6,3;61;56;69;28;48;30;24;67
Total;Sweden;2006;6,3;6;6,5;4,5;5,6;3,2;5;5,1;67;62;71;32;53;34;32;70
Total;Sweden;2008;6,4;6,1;6,6;4,6;5,7;4,8;4,7;6,4;67;64;73;34;57;36;36;71
Total;Sweden;2010;6,3;6,5;7;5;6,3;5,1;5;6,3;68;72;81;41;67;43;41;67
Total;Sweden;2012;6;6,3;6,7;4,7;5,9;4,9;4,7;6,3;63;66;74;38;60;38;36;69
Total;Sweden;2014;6,2;6,4;6,9;5;6,2;5,1;4,7;6,4;66;69;77;43;66;44;37;68
Total;Sweden;2016;6,2;6,2;6,7;4,7;5,9;4,8;4,8;6,2;67;67;75;38;60;38;37;64
Total;Sweden;2018;6,3;6,5;7;4,9;6,2;5;5,1;6,3;68;72;80;42;65;42;46;68
Total;Switzerland;2002;5,6;6,2;6,8;4,9;5,8;;4,8;5,4;51;63;75;37;55;;35;50
Total;Switzerland;2004;5,7;6,1;6,9;4,8;5,5;4,6;4,6;5,4;54;61;77;34;48;29;33;48
Total;Switzerland;2006;5,7;6,2;6,9;4,9;5,8;3,6;5,1;5,3;53;65;78;38;54;34;35;49
Total;Switzerland;2008;5,7;6,4;6,9;4,9;5,8;4,7;4,8;5,6;53;68;77;40;58;33;39;54
Total;Switzerland;2010;5,6;6,3;7;5;5,8;4,8;4,6;5,3;53;64;79;42;56;36;33;49
Total;Switzerland;2012;5,7;6,5;7,2;5,2;6,1;5;4,7;5,5;54;70;82;45;63;41;35;51
Total;Switzerland;2014;5,7;6,6;7,2;5,3;6,2;5,1;4,5;5,4;53;72;82;47;66;43;33;48
Total;Switzerland;2016;6;6,6;7,2;5,4;6,3;5,2;4,5;5,2;60;72;83;49;68;45;34;49
Total;Switzerland;2018;5,9;6,8;7,4;5,4;6,4;5,2;4,8;5,4;59;75;85;50;69;45;40;50
