Country_Name,Periods;Evaluation of trust in/Other people (score);Evaluation of trust in/Legal system (score);Evaluation of trust in/Police (score);Evaluation of trust in/Politicians  (score);Evaluation of trust in/Parliament (score);Evaluation of trust in/Political parties (score);Evaluation of trust in/European Parliament (score);Evaluation of trust in/United Nations (score);Percentage of people with trust in/Other people (%);Percentage of people with trust in/Legal system (%);Percentage of people with trust in/Police (%);Percentage of people with trust in/Politicians (%);Percentage of people with trust in/Parliament  (%);Percentage of people with trust in/Political parties (%);Percentage of people with trust in/European Parliament (%);Percentage of people with trust in/United Nations (%)
Belgium;2002;4,8;4,4;5,6;4,3;5;;4,9;5,1;40;36;57;31;43;;42;48
Belgium;2004;4,8;4,8;5,8;4,2;4,7;4,3;5;5,1;40;42;59;30;37;31;42;46
Belgium;2006;5;4,9;5,9;4,4;5;4,4;5,1;5,3;42;43;63;30;42;32;47;50
Belgium;2008;5,1;4,9;6;4;4,6;4;5,1;5,3;46;43;63;26;34;24;46;51
Belgium;2010;5;4,9;6;3,9;4,5;3,9;5;5,3;43;43;64;24;34;23;45;48
Belgium;2012;5,1;4,9;6,1;4,3;5;4,2;5,1;5,5;46;44;66;31;44;30;47;53
Belgium;2014;5;5;6;4,1;4,8;4,1;4,8;5,2;43;47;66;29;43;28;42;47
Belgium;2016;5,2;5,3;6,4;4,1;4,8;4;4,6;5,3;48;52;73;28;42;27;39;50
Belgium;2018;5,2;5,3;6,5;4,3;4,8;4,3;4,9;5,3;45;53;76;30;39;29;42;50
Bulgaria;2002;;;;;;;;;;;;;;;;
Bulgaria;2004;;;;;;;;;;;;;;;;
Bulgaria;2006;;;;;;;;;;;;;;;;
Bulgaria;2008;3,5;2,3;3,3;1,6;1,9;1,7;4,6;4,8;19;11;20;5;7;5;36;38
Bulgaria;2010;3,5;2,5;3,9;2;2,4;2;4,8;4,9;20;11;25;7;9;6;40;40
Bulgaria;2012;3,4;2,3;3,6;1,8;2,1;1,8;4,3;4,6;18;10;23;4;7;4;32;39
Bulgaria;2014;;;;;;;;;;;;;;;;
Bulgaria;2016;;;;;;;;;;;;;;;;
Bulgaria;2018;3,5;3;3,8;2,1;2,5;2,2;3,3;3,3;18;14;24;6;8;7;21;21
Cyprus;2002;;;;;;;;;;;;;;;;
Cyprus;2004;;;;;;;;;;;;;;;;
Cyprus;2006;;;;;;;;;;;;;;;;
Cyprus;2008;4,5;6,4;5,9;4,5;5,6;4,4;6;4,8;34;64;57;33;51;29;60;37
Cyprus;2010;3,8;5,6;5,5;3,6;4,6;3,5;5;4,4;23;53;51;19;33;18;43;32
Cyprus;2012;3,6;4,7;4,9;2,5;3,4;2,4;4,3;3,7;21;40;44;9;18;9;32;27
Cyprus;2014;;;;;;;;;;;;;;;;
Cyprus;2016;;;;;;;;;;;;;;;;
Cyprus;2018;3,7;4,4;5,3;2,7;3,6;2,7;4,7;4,7;23;31;50;10;18;10;35;37
Denmark;2002;7;7,1;7,9;5,5;6,2;;4,8;6,5;75;77;90;51;62;;40;70
Denmark;2004;6,8;7,2;7,9;5,6;6,3;5,6;4,8;6,6;72;78;90;52;64;52;38;71
Denmark;2006;7;7,5;7,8;5,6;6,4;4,8;4,8;5,4;77;83;89;55;67;54;41;70
Denmark;2008;6,9;7,3;7,6;5,6;6,5;5,7;5;6,5;75;80;86;53;68;55;42;70
Denmark;2010;6,8;7,4;7,7;5;5,8;5,2;5;6,2;76;82;88;42;56;43;40;65
Denmark;2012;7;7,7;8;5,2;6,1;5,3;5,2;6,6;78;86;90;47;63;48;45;72
Denmark;2014;6,9;7,4;7,7;4,9;5,9;5,1;4,8;6,3;76;83;87;43;60;46;40;66
Denmark;2016;;;;;;;;;;;;;;;;
Denmark;2018;7,1;7,7;8;5,2;6,2;5,3;5,2;6,5;80;86;91;48;64;49;48;70
Germany;2002;4,7;5,7;6,7;3,5;4,5;;4,5;5,2;34;55;73;16;32;;31;45
Germany;2004;4,8;5,5;6,5;3,2;4,2;3,2;4,2;4,9;38;53;69;14;29;12;28;41
Germany;2006;4,8;5,6;6,6;3,3;4,2;3,3;4,1;4,7;38;54;72;16;28;15;25;38
Germany;2008;4,9;5,8;6,8;3,5;4,7;3,5;4,3;5;41;56;74;16;34;14;28;40
Germany;2010;4,7;5,7;6,9;3,4;4,3;3,4;4;4,7;35;54;74;15;29;14;24;36
Germany;2012;5;6;6,9;3,8;4,9;3,8;4,4;5,1;41;60;77;20;39;18;32;42
Germany;2014;5,2;5,9;6,8;3,9;5,1;3,9;4,1;4,7;44;58;75;24;45;24;29;38
Germany;2016;5,4;6,2;7,1;4,2;5,3;4,2;4,4;4,9;49;64;79;28;49;27;32;40
Germany;2018;5,4;6,1;7,1;4;5,1;4;4,6;4,9;50;62;79;25;45;24;36;40
Estonia;2002;;;;;;;;;;;;;;;;
Estonia;2004;5,2;4,9;5,7;3,3;4,2;3,1;4,9;5,5;43;40;54;13;25;10;39;51
Estonia;2006;5,3;5,1;5,5;3,5;4,6;5,7;5;6,5;44;42;51;16;32;16;46;50
Estonia;2008;3,5;2,3;3,3;1,6;1,9;1,7;4,6;4,8;47;39;61;15;24;13;39;46
Estonia;2010;5,7;5,2;6,2;3,6;4,2;3,4;5,2;5,5;51;46;63;19;29;16;44;48
Estonia;2012;5,5;4,9;5,9;3,3;3,9;3,2;4,7;5,2;48;42;58;16;26;14;36;44
Estonia;2014;5,6;5,2;6,1;3,5;4,4;3,4;4,4;4,7;49;45;61;16;31;15;32;38
Estonia;2016;5;3,9;6,6;2,4;3,9;2,4;4,2;4,7;53;55;73;19;33;17;33;43
Estonia;2018;5,6;5,9;7;3,9;4,9;3,7;4,6;4,9;51;59;76;21;40;18;36;42
Finland;2002;6,5;6,8;8;4,8;5,8;;4,9;6,5;71;74;90;41;59;;41;71
Finland;2004;6,5;6,9;8;4,9;6;5;5;6,6;72;76;92;42;64;44;43;74
Finland;2006;6,6;7;8;4,9;6;3,5;5,3;5,6;73;78;92;45;64;45;43;71
Finland;2008;6,4;7,1;8;4,9;6;5;5,2;6,7;70;81;91;42;63;44;47;76
Finland;2010;6,5;6,9;8;4,4;5,4;4,5;5,1;6,6;72;79;93;34;51;36;46;74
Finland;2012;6,6;7;8,1;4,8;5,9;4,9;5;6,5;74;79;93;41;61;41;44;73
Finland;2014;6,7;6,8;7,9;4,6;5,6;4,7;4,7;6,2;76;75;90;38;55;39;39;66
Finland;2016;6,8;7,2;8,2;4,7;5,7;4,8;5,2;6,4;77;82;93;42;59;43;49;70
Finland;2018;6,9;7,2;8,1;4,9;5,9;5;5,4;6,5;82;82;92;45;63;47;53;74
France;2002;4,5;4,8;5,9;3,7;4,5;;4,4;4,6;28;39;59;18;29;;28;35
France;2004;4,5;4,8;5,8;3,5;4,3;3,4;4,3;4,7;29;36;56;16;26;13;28;35
France;2006;4,5;4,9;5,7;3,3;4,3;3,5;5;5,1;29;41;56;12;27;12;30;46
France;2008;4,5;5,1;5,8;3,5;4,5;3,4;4,6;5,3;29;45;56;16;31;13;34;47
France;2010;4,3;4,9;5,6;3,2;4,1;3,1;4,3;5;27;40;54;13;24;10;28;40
France;2012;4,4;5;5,9;3,2;4,1;3,1;4,1;5,2;29;44;62;13;26;12;27;48
France;2014;4,6;5,2;6,1;2,7;3,9;2,7;3,9;5;33;47;65;9;26;9;25;45
France;2016;4,6;5;6,4;2,9;4,1;2,8;3,7;4,9;30;43;70;10;26;9;22;40
France;2018;4,7;5,3;6,5;3,5;4,2;3,1;4;5;31;50;72;17;29;11;27;44
Greece;2002;;;;;;;;;;;;;;;;
Greece;2004;;;;;;;;;;;;;;;;
Greece;2006;;;;;;;;;;;;;;;;
Greece;2008;;;;;;;;;;;;;;;;
Greece;2010;4;3,8;4,6;1,4;2;1,4;2,6;2,6;26;28;39;3;7;3;12;13
Greece;2012;;;;;;;;;;;;;;;;
Greece;2014;;;;;;;;;;;;;;;;
Greece;2016;;;;;;;;;;;;;;;;
Greece;2018;;;;;;;;;;;;;;;;
Hungary;2002;4,1;5,1;4,9;3,9;5;;5,7;6;23;40;39;20;38;;50;55
Hungary;2004;4,1;4,4;5,2;2,7;3,6;2,7;5,2;5,7;25;32;43;8;19;8;47;53
Hungary;2006;4,3;4,3;5,1;2,5;3,4;5;5;6,5;30;31;44;9;17;8;40;47
Hungary;2008;4,1;3,7;4,3;1,9;2,6;2;4;4,5;25;23;30;5;10;6;27;35
Hungary;2010;4,5;4,6;5,1;3,1;4,2;3,1;4,7;5,1;32;36;44;15;29;14;37;45
Hungary;2012;4,8;4,7;5,3;3,3;3,9;3,2;4,2;4,9;42;38;46;20;26;18;28;38
Hungary;2014;4,2;4,6;5,3;2,9;3,9;3;4,8;5,4;30;38;47;17;26;16;41;49
Hungary;2016;4,5;5,4;6,4;3,7;4,5;3,6;4,4;5;34;51;67;26;36;21;34;42
Hungary;2018;4,8;5,6;6,4;4;4,6;3,9;5,1;5,7;43;53;66;28;39;26;46;56
Ireland;2002;5,5;5,1;6,5;3,7;4,4;;5,1;5,7;51;44;69;21;32;;44;54
Ireland;2004;5,8;5,2;6,6;3,9;4,7;4;5,4;5,8;57;45;69;23;36;23;48;56
Ireland;2006;5,4;5;6,1;3,8;4,8;3,2;4,4;5,1;48;42;62;23;38;23;46;55
Ireland;2008;;;;;;;;;;;;;;;;
Ireland;2010;5,3;5,1;6,5;3,1;3,7;3,1;4,1;5,3;47;44;68;13;21;11;26;46
Ireland;2012;5,2;5,2;6,6;3,1;3,6;3;4,4;5,5;48;46;73;15;21;13;33;51
Ireland;2014;5,2;5,3;6,3;3,3;3,8;3,3;4,6;5,4;48;48;66;17;24;16;37;51
Ireland;2016;5,6;5,5;6,2;3,7;4,5;3,7;4,9;5,7;55;54;67;24;34;22;42;57
Ireland;2018;5,5;5,3;6,3;3,9;4,6;3,9;5;5,6;52;50;66;27;40;26;46;57
Iceland;2002;;;;;;;;;;;;;;;;
Iceland;2004;;;;;;;;;;;;;;;;
Iceland;2006;;;;;;;;;;;;;;;;
Iceland;2008;;;;;;;;;;;;;;;;
Iceland;2010;;;;;;;;;;;;;;;;
Iceland;2012;6;5,8;7,8;3,9;4,2;3,5;4,2;6,3;59;60;90;23;31;18;33;68
Iceland;2014;;;;;;;;;;;;;;;;
Iceland;2016;6,4;6;7,8;4,4;5,1;4,2;5,2;6,6;68;65;91;34;48;30;47;73
Iceland;2018;6,6;6,1;7,6;4,5;5,2;4,3;5,7;6,8;71;68;87;35;51;32;59;77
Israel;2002;;;;;;;;;;;;;;;;
Israel;2004;;;;;;;;;;;;;;;;
Israel;2006;;;;;;;;;;;;;;;;
Israel;2008;;;;;;;;;;;;;;;;
Israel;2010;5,1;5,3;4,8;2,9;3,7;3;3,4;3,4;42;51;39;14;23;13;19;23
Israel;2012;5,3;5,6;5,1;3,1;4,1;3,1;4;3,6;45;56;47;18;32;18;30;26
Israel;2014;5,2;5,5;4,8;3;4,1;3,2;3,1;3;43;55;42;15;31;16;21;20
Israel;2016;5,5;5,4;5,2;3,1;4,1;3,1;3,3;2,8;50;54;49;16;30;17;22;19
Israel;2018;;;;;;;;;;;;;;;;
Italy;2002;;;;;;;;;;;;;;;;
Italy;2004;;;;;;;;;;;;;;;;
Italy;2006;;;;;;;;;;;;;;;;
Italy;2008;;;;;;;;;;;;;;;;
Italy;2010;;;;;;;;;;;;;;;;
Italy;2012;4,8;4,5;6,1;2;3,2;2;4,3;5,2;43;38;65;7;18;6;36;52
Italy;2014;;;;;;;;;;;;;;;;
Italy;2016;4,6;4,6;6,1;2,3;3,2;2,3;4;4,5;37;40;67;11;21;9;33;40
Italy;2018;4,8;5,4;6,7;3;4,3;2,9;4,3;4,9;42;53;76;16;34;14;36;45
Kosovo;2002;;;;;;;;;;;;;;;;
Kosovo;2004;;;;;;;;;;;;;;;;
Kosovo;2006;;;;;;;;;;;;;;;;
Kosovo;2008;;;;;;;;;;;;;;;;
Kosovo;2010;;;;;;;;;;;;;;;;
Kosovo;2012;3,7;3,2;5,6;2,1;3,1;2,3;5,3;6,1;22;19;49;11;19;12;48;59
Kosovo;2014;;;;;;;;;;;;;;;;
Kosovo;2016;;;;;;;;;;;;;;;;
Kosovo;2018;;;;;;;;;;;;;;;;
Croatia;2002;;;;;;;;;;;;;;;;
Croatia;2004;;;;;;;;;;;;;;;;
Croatia;2006;;;;;;;;;;;;;;;;
Croatia;2008;;;;;;;;;;;;;;;;
Croatia;2010;4,6;3,2;4,4;1,6;2,3;1,8;3,3;3,9;35;17;32;4;8;4;15;25
Croatia;2012;;;;;;;;;;;;;;;;
Croatia;2014;;;;;;;;;;;;;;;;
Croatia;2016;;;;;;;;;;;;;;;;
Croatia;2018;4,1;2,5;5,3;1,7;2,2;1,9;3,8;4,3;25;10;47;4;9;4;24;31
Latvia;2002;;;;;;;;;;;;;;;;
Latvia;2004;;;;;;;;;;;;;;;;
Latvia;2006;;;;;;;;;;;;;;;;
Latvia;2008;;;;;;;;;;;;;;;;
Latvia;2010;;;;;;;;;;;;;;;;
Latvia;2012;;;;;;;;;;;;;;;;
Latvia;2014;;;;;;;;;;;;;;;;
Latvia;2016;;;;;;;;;;;;;;;;
Latvia;2018;4,4;4,4;5,7;2,7;3,4;2,6;4,4;4,8;29;31;53;9;17;8;35;41
Lithuania;2002;;;;;;;;;;;;;;;;
Lithuania;2004;;;;;;;;;;;;;;;;
Lithuania;2006;;;;;;;;;;;;;;;;
Lithuania;2008;;;;;;;;;;;;;;;;
Lithuania;2010;;;;;;;;;;;;;;;;
Lithuania;2012;5,2;4;5,5;2,9;3,1;2,8;4,7;5;49;27;53;12;16;12;41;46
Lithuania;2014;4,9;4,5;5,7;3,1;3,3;3;5,2;5,6;42;36;55;15;19;15;49;53
Lithuania;2016;5,2;5;6,1;3,5;3,9;3,2;5,6;5,8;51;43;62;20;25;18;52;55
Lithuania;2018;4,7;4,6;6,2;3,2;3,4;2,9;5,1;5,3;35;37;62;16;21;15;44;46
Montenegro;2002;;;;;;;;;;;;;;;;
Montenegro;2004;;;;;;;;;;;;;;;;
Montenegro;2006;;;;;;;;;;;;;;;;
Montenegro;2008;;;;;;;;;;;;;;;;
Montenegro;2010;;;;;;;;;;;;;;;;
Montenegro;2012;;;;;;;;;;;;;;;;
Montenegro;2014;;;;;;;;;;;;;;;;
Montenegro;2016;;;;;;;;;;;;;;;;
Montenegro;2018;3,6;4,3;5,1;3;4,1;3;4,8;4,9;20;34;44;17;32;15;40;40
The Netherlands;2002;5,7;5,4;5,8;4,9;5,2;;4,7;5,4;58;52;62;42;50;;38;52
The Netherlands;2004;5,8;5,5;6;4,7;4,7;4,8;4,6;5,4;63;56;67;40;39;41;38;56
The Netherlands;2006;5,8;5,8;6,2;5;5,3;3,5;3,5;5;61;61;72;46;53;47;39;55
The Netherlands;2008;6;5,9;6,3;5,2;5,6;5,2;5,1;5,6;64;64;73;52;60;52;48;59
The Netherlands;2010;6;5,9;6,3;5,2;5,4;5,3;4,9;5,6;67;64;73;52;55;53;43;58
The Netherlands;2012;6;6,1;6,4;5,1;5,3;5,1;4,8;5,7;65;67;77;50;52;48;45;61
The Netherlands;2014;6;6;6,4;4,9;5,2;4,9;4,5;5,5;66;67;77;46;53;45;38;60
The Netherlands;2016;6;6,2;6,7;5,1;5,6;5,2;4,7;5,7;68;71;82;50;60;52;41;61
The Netherlands;2018;6,2;6,6;7;5,4;5,9;5,4;5,3;5,9;70;78;85;57;67;55;54;66
Norway;2002;6,6;6,3;7;4,6;5,7;;4,7;6,8;72;66;79;31;53;;32;76
Norway;2004;6,6;6,4;7,1;4,2;5,4;4,3;4,6;6,9;73;67;82;26;49;25;29;78
Norway;2006;6,8;6,6;7,2;4,4;5,7;2,6;5;5,4;77;72;82;29;54;29;32;77
Norway;2008;6,6;6,8;7;4,6;5,8;4,8;5;6,8;73;74;79;33;54;34;37;77
Norway;2010;6,7;6,9;7,2;4,9;6;4,9;5;6,7;74;76;82;38;61;37;37;74
Norway;2012;6,7;7,2;7,2;5,1;6,3;5,2;4,9;6,7;75;82;83;44;66;43;35;76
Norway;2014;6,6;7,2;7,4;5,3;6,7;5,3;5;6,7;73;81;85;48;76;47;38;74
Norway;2016;6,8;7,4;7,4;5,4;6,8;5,5;5,1;6,8;76;83;86;51;76;50;43;77
Norway;2018;6,8;7,5;7,6;5,3;6,8;5,4;5,5;7;75;86;87;49;75;51;51;79
Ukraine;2002;;;;;;;;;;;;;;;;
Ukraine;2004;;;;;;;;;;;;;;;;
Ukraine;2006;;;;;;;;;;;;;;;;
Ukraine;2008;;;;;;;;;;;;;;;;
Ukraine;2010;4,2;2,3;2,5;1,8;2;2;4;4;29;6;10;4;6;5;25;26
Ukraine;2012;4,5;1,9;2;1,7;1,8;1,9;3,9;3,9;38;7;9;4;7;5;29;29
Ukraine;2014;;;;;;;;;;;;;;;;
Ukraine;2016;;;;;;;;;;;;;;;;
Ukraine;2018;;;;;;;;;;;;;;;;
Austria;2002;5,1;6,1;6,4;3,5;5,1;;4,2;4,5;43;60;67;18;41;;28;34
Austria;2004;5,2;5,8;6,2;3,3;4,8;3,4;4;4,5;44;57;62;15;35;15;26;34
Austria;2006;5,1;6;6,3;3,3;4,9;3,3;4;4,7;44;60;66;16;40;17;28;39
Austria;2008;;;;;;;;;;;;;;;;
Austria;2010;;;;;;;;;;;;;;;;
Austria;2012;;;;;;;;;;;;;;;;
Austria;2014;5;5,7;6,5;3,5;4,7;3,4;3,6;4,4;42;55;68;19;37;18;23;33
Austria;2016;5,4;6,3;7,1;3,9;5;3,8;3,8;4,4;51;69;80;22;40;21;25;36
Austria;2018;5,5;6,7;7,4;4,2;5,4;4,1;4,4;4,9;53;71;82;27;48;24;32;43
Poland;2002;3,7;3,7;4,9;2,7;3,5;;4,8;5,6;18;20;39;7;15;;33;49
Poland;2004;3,6;3;4,6;1,9;2,4;1,9;4,3;5;18;12;32;3;7;3;28;39
Poland;2006;4,1;3,8;5;2,1;2,7;3,9;5,3;5,7;23;20;42;5;8;4;36;44
Poland;2008;4,1;3,9;5,1;2,3;3;2,3;4,5;5,1;25;21;42;4;11;5;31;43
Poland;2010;4,4;4,3;5,4;2,7;3,4;2,5;4,7;5,3;30;27;49;9;17;8;36;46
Poland;2012;4,1;3,7;5,3;2,2;3;2,2;4,2;5;26;20;46;6;13;6;29;41
Poland;2014;3,9;3,5;5,1;2;2,8;2;3,6;4,6;23;19;42;5;11;4;20;35
Poland;2016;4,1;4;5,7;2,5;3,4;2,4;3,9;4,9;27;23;54;7;17;7;24;38
Poland;2018;4;4,3;5,8;3,1;3,8;3,2;4,6;5,5;27;30;54;14;24;15;35;48
Portugal;2002;4,2;4,3;5,1;2,8;4,4;;4,8;5,4;25;28;40;8;29;;36;46
Portugal;2004;3,9;3,9;5,1;2,1;3,7;2,1;4;4,7;22;22;40;4;19;4;24;41
Portugal;2006;4,1;4;5,1;2,5;3,8;5,1;4,8;5,5;27;26;45;8;22;7;35;41
Portugal;2008;3,7;3,8;5,3;2,3;3,5;2,4;4,3;4,9;20;24;48;6;18;6;30;40
Portugal;2010;3,7;3,5;5,1;2;2,9;2;3,7;4,3;19;18;42;5;12;5;20;31
Portugal;2012;3,6;3,5;5,3;1,8;2,5;1,8;3,2;4,1;20;19;51;4;9;3;16;30
Portugal;2014;3,6;3,7;5,6;2;3,1;2,2;3,4;4,6;20;27;53;8;18;8;21;38
Portugal;2016;4,1;4;6,1;2,5;3,9;2,6;4,1;5,3;24;28;61;9;26;11;31;51
Portugal;2018;4,1;4,2;6,2;2,7;4,2;2,8;4,6;5,7;27;29;62;12;30;13;40;55
Russian Federation;2002;;;;;;;;;;;;;;;;
Russian Federation;2004;;;;;;;;;;;;;;;;
Russian Federation;2006;;;;;;;;;;;;;;;;
Russian Federation;2008;;;;;;;;;;;;;;;;
Russian Federation;2010;4,2;3,8;3,5;3;3,6;3,1;4;4,4;29;25;21;15;22;14;28;33
Russian Federation;2012;4,4;3,6;3,5;2,9;3,4;3;3,6;3,7;32;21;20;13;18;14;23;25
Russian Federation;2014;;;;;;;;;;;;;;;;
Russian Federation;2016;4,5;4,4;4,4;3,6;4,3;3,6;2,8;3;31;34;33;20;30;22;15;17
Russian Federation;2018;;;;;;;;;;;;;;;;
Serbia;2002;;;;;;;;;;;;;;;;
Serbia;2004;;;;;;;;;;;;;;;;
Serbia;2006;;;;;;;;;;;;;;;;
Serbia;2008;;;;;;;;;;;;;;;;
Serbia;2010;;;;;;;;;;;;;;;;
Serbia;2012;;;;;;;;;;;;;;;;
Serbia;2014;;;;;;;;;;;;;;;;
Serbia;2016;;;;;;;;;;;;;;;;
Serbia;2018;3,7;3,9;5;2,7;3,9;2,5;3,1;3,5;23;28;42;15;28;14;18;24
Slovenia;2002;4;4,3;4,9;3,1;4;;4,6;4,9;24;31;39;12;24;;36;40
Slovenia;2004;6,1;5,8;6,5;4,2;5,4;4,4;4;6,3;28;24;36;11;24;12;33;35
Slovenia;2006;4,1;4,2;5;3,2;4,2;4,5;4,7;6,8;28;27;41;14;27;14;39;42
Slovenia;2008;4,3;4,3;5;3,4;4,4;3,4;4,8;5;29;29;42;15;30;16;38;42
Slovenia;2010;3,9;3,1;5;2,3;3;2,2;3,7;4,1;24;16;40;6;13;5;21;28
Slovenia;2012;4,6;3,3;5,3;2,3;3;2,3;3,8;4,2;35;18;49;7;15;7;23;29
Slovenia;2014;4,1;3,1;5,5;1,9;2,8;2;3,4;4,2;25;18;51;4;14;4;21;28
Slovenia;2016;4,4;3,6;6;2,4;3,3;2,5;3,9;4,3;31;23;60;8;17;8;26;31
Slovenia;2018;4,5;3,9;6,1;2,7;3,6;2,7;3,8;4,4;34;26;63;10;20;10;28;34
Slovakia;2002;;;;;;;;;;;;;;;;
Slovakia;2004;4,1;3,8;4,7;3,1;4,1;3,2;4,5;4,6;20;19;29;7;12;8;37;44
Slovakia;2006;4,3;4,2;4,7;3,6;4,2;2,1;4,8;5,3;28;26;35;16;25;15;40;44
Slovakia;2008;4,1;4,1;4,8;3,6;4;3,6;5,2;5,4;27;26;37;18;24;19;42;44
Slovakia;2010;4,5;3,5;4,5;2,8;3,2;2,7;4,4;4,8;31;18;30;8;13;7;31;36
Slovakia;2012;3,8;3,2;4,1;2,8;3,1;2,7;3,7;4,2;24;15;27;10;15;10;22;27
Slovakia;2014;;;;;;;;;;;;;;;;
Slovakia;2016;;;;;;;;;;;;;;;;
Slovakia;2018;3,9;4,2;5,1;3,3;3,6;3,5;4,5;5;27;32;46;20;25;23;37;44
Spain;2002;4,9;4,3;5,4;3,4;4,8;;4,8;4,7;41;30;52;17;38;;37;37
Spain;2004;4,9;4,7;5,9;3,7;5,1;3,7;5,1;5;40;38;59;20;43;20;43;44
Spain;2006;5,1;5;6;3,5;5;2,5;4,6;4,9;41;43;61;17;42;16;42;42
Spain;2008;4,9;4,3;6,1;3,3;5;3,2;5;5;39;29;64;15;42;15;39;42
Spain;2010;5,1;4,4;6,3;2,7;4,3;2,7;4,5;5;41;33;68;11;30;10;31;41
Spain;2012;5,1;3,7;5,9;1,9;3,4;1,9;3,9;4,7;44;25;59;7;21;7;26;38
Spain;2014;4,8;4;6,3;2,2;3,7;2,2;3,8;4,8;38;29;65;8;24;7;26;41
Spain;2016;5;3,9;6,6;2,4;3,9;2,4;4,2;4,7;42;28;71;10;28;9;31;40
Spain;2018;5,1;4,8;6,8;2,6;4,1;2,5;4,5;5;43;41;74;10;30;8;35;44
Czech Republic;2002;;;;;;;;;;;;;;;;
Czech Republic;2004;;;;;;;;;;;;;;;;
Czech Republic;2006;;;;;;;;;;;;;;;;
Czech Republic;2008;;;;;;;;;;;;;;;;
Czech Republic;2010;4,6;4,1;4,9;2,6;3,3;2,7;4,1;4,9;36;29;39;11;17;11;26;40
Czech Republic;2012;4,5;4,1;5,1;2,6;3,2;2,7;3,9;4,8;33;30;42;14;19;14;28;38
Czech Republic;2014;4,6;4,7;5,7;3,3;4;3,4;4,2;4,8;34;39;55;17;27;18;30;39
Czech Republic;2016;5,1;5,2;5,8;3,6;4,3;3,5;4,2;5;47;46;57;21;31;20;32;46
Czech Republic;2018;5;5,2;5,9;3,6;4,2;3,6;4,2;4,9;45;49;59;22;31;22;33;43
United Kingdom;2002;5,1;5;6;3,8;4,7;;3,6;5,3;42;43;63;22;36;;20;49
United Kingdom;2004;5,2;5,1;6,1;3,6;4,3;3,7;3,5;5,2;43;45;62;19;29;19;19;47
United Kingdom;2006;5,4;5;6;3,4;4,2;4,6;4,5;6,4;47;43;61;17;28;16;18;43
United Kingdom;2008;5,3;5,2;6,2;3,6;4,3;3,6;3,6;5,1;47;46;66;17;31;18;20;44
United Kingdom;2010;5,4;5,2;6,2;3,4;4,1;3,5;3,4;4,9;49;48;65;18;30;19;18;43
United Kingdom;2012;5,4;5,6;6,6;3,7;4,3;3,7;3,4;5,2;48;52;73;21;31;19;18;47
United Kingdom;2014;5,4;5,6;6,3;3,5;4,3;3,5;3,1;4,9;48;55;67;20;34;19;17;43
United Kingdom;2016;5,4;5,9;6,7;3,8;4,7;3,8;3,7;5,3;49;62;73;22;37;21;23;50
United Kingdom;2018;5,2;5,8;6,7;3,5;4,3;3,6;3,5;5,1;45;59;73;20;33;19;22;46
Sweden;2002;6,1;6,1;6,8;4,7;5,9;;4;6,6;61;61;74;37;58;;25;70
Sweden;2004;6,1;5,8;6,5;4,2;5,4;4,4;4;6,3;61;56;69;28;48;30;24;67
Sweden;2006;6,3;6;6,5;4,5;5,6;3,2;5;5,1;67;62;71;32;53;34;32;70
Sweden;2008;6,4;6,1;6,6;4,6;5,7;4,8;4,7;6,4;67;64;73;34;57;36;36;71
Sweden;2010;6,3;6,5;7;5;6,3;5,1;5;6,3;68;72;81;41;67;43;41;67
Sweden;2012;6;6,3;6,7;4,7;5,9;4,9;4,7;6,3;63;66;74;38;60;38;36;69
Sweden;2014;6,2;6,4;6,9;5;6,2;5,1;4,7;6,4;66;69;77;43;66;44;37;68
Sweden;2016;6,2;6,2;6,7;4,7;5,9;4,8;4,8;6,2;67;67;75;38;60;38;37;64
Sweden;2018;6,3;6,5;7;4,9;6,2;5;5,1;6,3;68;72;80;42;65;42;46;68
Switzerland;2002;5,6;6,2;6,8;4,9;5,8;;4,8;5,4;51;63;75;37;55;;35;50
Switzerland;2004;5,7;6,1;6,9;4,8;5,5;4,6;4,6;5,4;54;61;77;34;48;29;33;48
Switzerland;2006;5,7;6,2;6,9;4,9;5,8;3,6;5,1;5,3;53;65;78;38;54;34;35;49
Switzerland;2008;5,7;6,4;6,9;4,9;5,8;4,7;4,8;5,6;53;68;77;40;58;33;39;54
Switzerland;2010;5,6;6,3;7;5;5,8;4,8;4,6;5,3;53;64;79;42;56;36;33;49
Switzerland;2012;5,7;6,5;7,2;5,2;6,1;5;4,7;5,5;54;70;82;45;63;41;35;51
Switzerland;2014;5,7;6,6;7,2;5,3;6,2;5,1;4,5;5,4;53;72;82;47;66;43;33;48
Switzerland;2016;6;6,6;7,2;5,4;6,3;5,2;4,5;5,2;60;72;83;49;68;45;34;49
Switzerland;2018;5,9;6,8;7,4;5,4;6,4;5,2;4,8;5,4;59;75;85;50;69;45;40;50
